"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 22-Apr-2022","30 D % CHNG 
 24-Mar-2023"
"RVNL","88.70","96.70","88.35","87.75","94.85","7.10","8.09","127,759,426","11,977,446,187.50","96.70","29.05","145.11","35.52"
"BSE","459.00","494.00","458.50","457.95","492.20","34.25","7.48","2,355,477","1,137,648,281.46","929.00","406.20","-45.54","7.64"
"RITES","351.45","375.85","350.95","349.70","373.90","24.20","6.92","2,419,755","894,849,596.55","433.00","226.20","27.88","0.37"
"IFBIND","832.55","899.70","832.35","830.90","885.55","54.65","6.58","231,728","205,473,217.60","1,129.95","698.00","-13.12","6.94"
"ZOMATO","56.40","60.60","56.20","56.00","59.30","3.30","5.89","132,707,904","7,849,672,521.60","81.60","40.60","-31.03","10.56"
"ADANITRANS","969.00","1,013.35","965.20","965.10","1,013.35","48.25","5.00","204,210","203,513,643.90","4,236.75","631.50","-63.70","-14.18"
"ADANIGREEN","870.00","931.45","864.90","887.10","931.45","44.35","5.00","1,006,590","918,483,177.30","3,000.00","439.10","-69.23","-13.82"
"ATGL","895.00","935.70","890.00","891.15","935.70","44.55","5.00","352,789","324,654,077.25","4,000.00","650.00","-63.07","-11.54"
"TMB","414.00","433.80","410.85","407.85","427.90","20.05","4.92","321,615","136,930,802.40","548.50","399.00","-","-1.50"
"JAMNAAUTO","102.65","107.90","102.65","102.55","107.15","4.60","4.49","1,041,769","110,604,614.73","135.50","94.40","-10.16","3.95"
"ANURAS","1,075.00","1,132.70","1,073.00","1,076.10","1,119.00","42.90","3.99","1,358,730","1,520,772,139.80","1,132.70","546.75","25.97","25.86"
"IBREALEST","64.00","67.40","63.80","63.50","65.95","2.45","3.86","20,269,248","1,335,743,443.20","96.20","45.90","-33.33","23.06"
"ADANIENT","1,806.00","1,877.00","1,801.80","1,801.95","1,866.05","64.10","3.56","2,166,383","4,011,534,728.76","4,190.00","1,017.45","-20.73","3.52"
"MTARTECH","1,737.90","1,789.80","1,727.00","1,730.35","1,784.65","54.30","3.14","103,441","182,723,354.45","1,823.90","1,205.00","0.99","7.54"
"ABB","3,228.00","3,323.90","3,210.05","3,217.40","3,316.00","98.60","3.06","319,639","1,044,567,466.44","3,467.95","2,000.00","48.88","-3.86"
"GAEL","268.70","278.90","266.20","267.25","275.20","7.95","2.97","523,256","144,167,493.12","374.85","215.40","-26.11","12.15"
"HEG","1,062.05","1,100.90","1,060.00","1,063.90","1,095.05","31.15","2.93","197,971","214,586,706.03","1,378.85","890.80","-20.26","12.68"
"MARICO","474.95","490.50","474.50","474.95","488.70","13.75","2.90","2,405,990","1,156,968,411.30","554.35","462.70","-9.22","-0.47"
"GRINDWELL","1,847.95","1,896.95","1,820.00","1,841.10","1,894.40","53.30","2.90","21,370","39,762,517.90","2,328.35","1,451.00","5.82","4.82"
"SJVN","33.60","34.45","33.55","33.35","34.30","0.95","2.85","3,815,522","130,109,300.20","42.35","25.45","13.05","9.17"
"RAYMOND","1,560.15","1,600.00","1,544.00","1,552.65","1,596.00","43.35","2.79","581,090","918,197,741.70","1,644.00","737.00","70.59","26.15"
"UCOBANK","27.70","28.90","27.35","27.45","28.20","0.75","2.73","23,946,621","677,210,441.88","38.15","10.55","127.80","15.09"
"ASHOKLEY","137.10","140.15","136.50","136.45","140.10","3.65","2.67","10,646,828","1,475,011,551.12","169.45","113.00","5.69","-0.87"
"CLEAN","1,392.00","1,421.40","1,372.00","1,378.65","1,414.75","36.10","2.62","64,363","90,199,595.46","2,023.80","1,227.10","-30.48","4.82"
"MMTC","29.20","30.15","29.20","29.20","29.95","0.75","2.57","585,912","17,454,318.48","49.85","26.40","-44.27","0.86"
"WELSPUNIND","86.90","86.90","85.00","83.00","85.10","2.10","2.53","2,598,698","222,526,509.74","89.95","62.00","-7.73","27.01"
"IGL","485.50","497.70","484.50","485.15","497.30","12.15","2.50","944,122","466,028,060.42","501.25","335.35","28.79","12.25"
"ADANIPOWER","201.00","210.40","200.00","201.40","206.35","4.95","2.46","7,850,795","1,627,391,295.55","432.50","132.40","-22.27","4.57"
"HUDCO","47.00","48.95","46.80","46.80","47.95","1.15","2.46","5,583,174","268,662,332.88","58.85","30.60","28.22","9.73"
"INDIANB","314.00","321.90","311.10","313.30","320.90","7.60","2.43","1,359,897","432,161,667.63","324.70","137.05","93.87","16.06"
"RUSTOMJEE","436.55","451.00","436.50","440.80","451.00","10.20","2.31","14,223","6,363,227.97","597.00","432.05","-","-1.35"
"BDL","991.75","1,015.70","986.00","990.45","1,012.65","22.20","2.24","365,587","367,433,214.35","1,030.00","608.45","23.93","10.65"
"AWL","400.20","414.90","399.00","399.70","408.65","8.95","2.24","1,680,925","687,397,469.50","878.00","327.25","-45.14","-1.96"
"BANKBARODA","180.50","184.95","180.20","180.20","184.15","3.95","2.19","14,441,846","2,648,778,974.86","197.20","89.85","61.69","12.77"
"MAHLIFE","384.00","384.95","376.20","372.90","381.05","8.15","2.19","246,468","93,946,207.56","550.75","309.05","0.57","12.25"
"BAJFINANCE","5,959.90","6,083.00","5,928.70","5,933.75","6,061.85","128.10","2.16","886,790","5,353,737,455.90","7,778.00","5,220.00","-16.55","5.04"
"FINCABLES","875.00","889.00","867.25","869.20","887.90","18.70","2.15","288,913","254,194,324.79","894.95","343.50","112.75","10.30"
"GRAPHITE","288.40","296.85","286.10","288.50","294.55","6.05","2.10","1,169,678","342,820,925.02","547.50","251.70","-47.67","6.79"
"PNBHOUSING","432.00","442.80","429.40","428.85","437.65","8.80","2.05","558,161","243,464,246.59","545.67","259.54","8.71","-13.65"
"GLAND","1,321.20","1,376.95","1,318.20","1,310.45","1,337.15","26.70","2.04","1,286,098","1,722,908,324.72","3,370.00","1,130.00","-60.76","2.20"
"SUNDRMFAST","1,004.20","1,023.70","997.55","1,000.70","1,021.00","20.30","2.03","24,278","24,592,400.10","1,070.00","673.05","20.05","1.65"
"IIFL","457.10","467.30","457.00","454.85","464.05","9.20","2.02","187,456","86,797,751.68","538.00","282.90","23.42","7.11"
"SIEMENS","3,283.90","3,357.20","3,271.00","3,268.60","3,334.00","65.40","2.00","183,031","608,387,722.76","3,400.00","2,150.10","39.70","-1.95"
"CANBK","303.90","310.95","303.75","302.95","308.90","5.95","1.96","5,715,261","1,763,329,476.33","341.70","171.75","29.88","10.65"
"JKPAPER","366.30","373.25","365.35","364.65","371.80","7.15","1.96","239,706","88,796,690.64","453.20","267.10","3.04","-1.13"
"DELTACORP","197.15","202.40","197.15","196.90","200.65","3.75","1.90","2,156,684","431,789,703.64","283.95","162.10","-31.00","6.23"
"SUPREMEIND","2,675.00","2,739.90","2,674.95","2,685.60","2,736.25","50.65","1.89","74,875","203,623,311.25","2,855.30","1,666.25","36.77","7.17"
"IOB","24.40","24.80","24.15","24.20","24.65","0.45","1.86","10,972,184","269,147,673.52","36.70","15.25","29.41","8.52"
"GSFC","123.40","126.40","123.40","123.75","126.05","2.30","1.86","605,765","75,859,950.95","182.90","114.65","-28.05","1.06"
"BAJAJFINSV","1,325.00","1,346.00","1,322.10","1,319.75","1,344.25","24.50","1.86","1,436,046","1,921,027,455.12","1,844.00","1,072.72","-91.46","6.38"
"SHOPERSTOP","610.15","626.75","607.75","610.35","621.55","11.20","1.84","25,146","15,644,583.90","820.00","396.60","22.77","-4.53"
"ASTERDM","251.15","256.50","251.00","251.15","255.70","4.55","1.81","179,547","45,816,803.46","275.60","162.60","28.37","5.50"
"TRIVENI","284.70","290.50","284.40","282.60","287.70","5.10","1.80","237,803","68,389,764.77","358.25","211.05","-20.36","6.06"
"CDSL","991.00","1,013.70","986.50","987.00","1,004.80","17.80","1.80","315,609","316,480,080.84","1,451.90","880.90","-30.93","4.97"
"IBULHSGFIN","104.25","107.95","103.90","103.90","105.75","1.85","1.78","7,740,160","821,308,377.60","163.05","89.00","-34.74","8.91"
"FINPIPE","162.25","167.30","162.25","161.75","164.60","2.85","1.76","204,573","33,705,447.48","195.00","121.50","-0.12","-1.04"
"KFINTECH","314.20","315.50","308.20","309.55","315.00","5.45","1.76","47,198","14,766,838.26","373.00","272.00","-","5.99"
"EXIDEIND","188.50","192.60","188.50","188.40","191.70","3.30","1.75","1,986,973","380,008,586.25","194.20","130.25","20.46","7.38"
"SBIN","555.00","567.90","555.00","554.60","564.30","9.70","1.75","21,515,443","12,080,060,626.78","629.55","430.70","10.79","9.75"
"IRB","26.25","26.80","26.15","26.10","26.55","0.45","1.72","2,763,771","73,267,569.21","34.90","17.89","-89.25","6.53"
"NBCC","38.10","39.35","37.95","38.00","38.65","0.65","1.71","3,743,309","145,277,822.29","43.75","26.55","-3.68","15.85"
"MEDPLUS","725.85","744.90","722.40","729.20","741.50","12.30","1.69","13,310","9,819,053.20","1,029.60","548.25","-26.79","8.92"
"BHARTIARTL","764.95","773.00","761.75","760.25","772.95","12.70","1.67","3,330,865","2,547,545,477.95","860.55","628.75","2.91","-0.29"
"CENTRALBK","27.35","28.10","27.10","27.10","27.55","0.45","1.66","8,852,641","244,864,050.06","41.80","16.25","38.27","15.81"
"NCC","115.80","117.75","114.55","115.60","117.50","1.90","1.64","3,626,026","422,286,987.96","117.75","52.20","64.79","13.44"
"DELHIVERY","353.50","361.90","351.05","353.75","359.55","5.80","1.64","602,501","215,303,732.35","708.00","291.00","-","9.30"
"JMFINANCIL","60.85","62.55","60.85","61.00","62.00","1.00","1.64","250,132","15,480,669.48","84.90","57.10","-14.02","0.33"
"ELGIEQUIP","483.95","493.45","483.95","482.00","489.90","7.90","1.64","90,746","44,409,277.48","566.60","248.70","42.81","3.10"
"RBLBANK","151.50","153.95","151.10","151.50","153.95","2.45","1.62","2,446,495","374,166,945.30","189.30","74.15","22.08","12.14"
"JKLAKSHMI","769.95","788.40","767.20","769.35","781.75","12.40","1.61","64,951","50,520,186.82","896.90","366.25","70.30","6.62"
"RENUKA","47.00","48.25","46.90","46.65","47.40","0.75","1.61","4,258,230","202,564,001.10","68.75","38.90","-23.96","8.74"
"OLECTRA","661.40","679.45","660.60","659.45","670.05","10.60","1.61","536,762","359,775,465.74","743.35","374.10","-3.95","4.41"
"GODFRYPHLP","1,701.95","1,735.00","1,697.00","1,698.50","1,725.60","27.10","1.60","29,221","50,341,646.59","2,149.00","1,016.00","35.09","-6.38"
"RECLTD","124.40","127.45","124.00","123.95","125.90","1.95","1.57","7,127,094","898,869,095.28","128.45","82.24","-3.54","7.64"
"ISEC","432.50","438.90","431.00","430.20","436.95","6.75","1.57","59,296","25,860,171.52","599.40","408.40","-27.96","-0.81"
"POWERINDIA","3,250.75","3,287.50","3,229.00","3,234.75","3,285.00","50.25","1.55","24,858","80,801,177.58","3,915.00","2,750.10","-0.04","-2.97"
"MANYAVAR","1,296.95","1,318.70","1,292.05","1,290.20","1,309.55","19.35","1.50","21,518","28,192,883.60","1,501.55","917.30","20.24","16.19"
